place_id,name,lat,lng,address,source,num_shops,total_reviews,score_avg_rating,score_review_density,score_variety,score_hours,shop_quality_score,density_score,rz_avg,residential_coverage,zone_breakdown,population_500m,population_score,top_shops
actmapi_cz4_m35d32806_149d14260,Local Centre — Griffith,-35.32805578494953,149.1425992512316,"Griffith, ACT",actmapi_cz4,60,2627,5.45,6.23,10.0,7.66,7.64,2.41,1.206,0.813,"{""CF"": 51681, ""PRZ2"": 2369, ""PRZ1"": 53859, ""CZ4"": 11576, ""RZ2"": 107001, ""RZ1"": 413254}",1136,4.1,"[{""name"": ""Sentia Real Estate"", ""rating"": 5, ""reviews"": 67}, {""name"": ""Plastering Patch and Repair Service"", ""rating"": 5, ""reviews"": 19}, {""name"": ""Transition Breath - Breathwork & Holistic Counselling Canberra"", ""rating"": 5, ""reviews"": 6}]"
actmapi_cz4_m35d21068_149d01229,Local Centre — Macgregor,-35.210683182283546,149.01228716058264,"Macgregor, ACT",actmapi_cz4,27,373,5.79,3.57,0.0,4.08,2.98,3.08,1.542,0.539,"{""PRZ1"": 211043, ""TSZ1"": 34135, ""RZ1"": 158096, ""CF"": 39658, ""RZ2"": 187169, ""CZ4"": 10539}",915,3.3,"[{""name"": ""Ben Calvert Photography"", ""rating"": 5, ""reviews"": 62}, {""name"": ""Little Grasshopper Photography"", ""rating"": 5, ""reviews"": 27}, {""name"": ""Boss renovation services"", ""rating"": 5, ""reviews"": 3}]"
actmapi_cz4_m35d19471_149d06192,Local Centre — Spence,-35.19470820274613,149.06192364185068,"Spence, ACT",actmapi_cz4,31,527,5.89,4.03,9.17,9.99,7.49,2.66,1.328,0.622,"{""CF"": 1338, ""PRZ1"": 68773, ""NUZ3"": 106521, ""TSZ1"": 57720, ""RZ2"": 130568, ""RZ1"": 267865, ""CZ4"": 8019}",912,3.29,"[{""name"": ""Kali Rebecca Wedding Photo and Video"", ""rating"": 5, ""reviews"": 43}, {""name"": ""Kingdom Painting Services"", ""rating"": 5, ""reviews"": 36}, {""name"": ""Grocer and Grind Eatery"", ""rating"": 5, ""reviews"": 7}]"
actmapi_cz4_m35d17369_149d10815,Local Centre — Ngunnawal,-35.173691983568816,149.10814577459723,"Ngunnawal, ACT",actmapi_cz4,45,1061,6.06,4.79,10.0,9.53,7.88,2.0,1.0,0.702,"{""RZ1"": 449898, ""PRZ1"": 88805, ""CF"": 31517, ""TSZ1"": 61131, ""CZ4"": 9606}",1873,6.78,"[{""name"": ""Ned's Plumbing and Gas"", ""rating"": 5, ""reviews"": 141}, {""name"": ""F45 Training Ngunnawal"", ""rating"": 5, ""reviews"": 44}, {""name"": ""Susanna Jose Ceremonies"", ""rating"": 5, ""reviews"": 11}]"
actmapi_cz4_m35d14953_149d13006,Local Centre — Unknown,-35.14953096054361,149.13006363874536,"Unknown, ACT",actmapi_cz4,5,2,7.41,0.0,0.83,2.38,2.62,2.61,1.421,0.367,"{""PRZ1"": 177406, ""RZ1"": 202213, ""CZ5"": 29358, ""CZ4"": 4106, ""CF"": 34495, ""NUZ3"": 127095, ""RZ4"": 32982, ""TSZ1"": 33499}",1,0.0,"[{""name"": ""Jacka Netball Courts"", ""rating"": 5, ""reviews"": 2}]"
actmapi_cz4_m35d28073_149d06643,Local Centre — Unknown,-35.28072977785324,149.06642772599412,"Unknown, ACT",actmapi_cz4,1,0,0.0,0.0,0.0,2.38,0.48,3.11,1.557,0.867,"{""TSZ1"": 36549, ""NUZ3"": 15055, ""RZ1"": 400321, ""RZ3"": 154439, ""CZ4"": 20130, ""DES"": 13690}",1,0.0,[]
actmapi_cz4_m35d30382_149d05759,Local Centre — Unknown,-35.303818102561294,149.0575875067172,"Unknown, ACT",actmapi_cz4,1,0,0.0,0.0,0.0,2.38,0.48,3.46,1.729,0.573,"{""RZ1"": 232905, ""CF"": 7232, ""DES"": 157184, ""RZ3"": 133483, ""PRZ1"": 7265, ""CZ4"": 19927, ""TSZ1"": 28469, ""NUZ4"": 53441}",1,0.0,[]
actmapi_cz4_m35d15995_149d10080,Local Centre — Casey,-35.15994543281249,149.1007996187077,"Casey, ACT",actmapi_cz4,25,438,4.37,4.11,9.17,6.35,6.39,3.47,1.735,0.695,"{""RZ1"": 312106, ""PRZ1"": 105479, ""RZ4"": 60821, ""TSZ2"": 613, ""RZ3"": 72611, ""TSZ1"": 79450, ""CZ4"": 9913}",2075,7.52,"[{""name"": ""ACT PHOTO BOOTH | Photo Booth Hire Canberra"", ""rating"": 5, ""reviews"": 27}, {""name"": ""JJ\u2019s Flooring Specialist"", ""rating"": 5, ""reviews"": 10}, {""name"": ""English Academia"", ""rating"": 5, ""reviews"": 5}]"
actmapi_cz4_m35d19321_149d15011,Local Centre — Franklin,-35.19321111604193,149.15010951655992,"Franklin, ACT",actmapi_cz4,56,1286,6.28,4.73,7.5,6.02,6.34,6.56,3.278,0.558,"{""PRZ1"": 98946, ""CF"": 33606, ""RZ3"": 258114, ""TSZ1"": 100805, ""RZ4"": 99348, ""CZ5"": 41621, ""CZ4"": 8324}",3170,10.0,"[{""name"": ""Linear Blinds Curtains & Flooring"", ""rating"": 5, ""reviews"": 33}, {""name"": ""Sandesh Music Classes"", ""rating"": 5, ""reviews"": 22}, {""name"": ""MM professional Henna Artist"", ""rating"": 5, ""reviews"": 10}]"
actmapi_cz4_m35d31880_149d03790,Local Centre — Coombs,-35.318797866113826,149.03789713098524,"Coombs, ACT",actmapi_cz4,60,2994,5.16,6.55,10.0,6.64,7.43,7.93,3.966,0.613,"{""RZ5"": 273374, ""PRZ1"": 50274, ""NUZ4"": 3470, ""CZ5"": 64262, ""CF"": 45878, ""RZ1"": 95622, ""RZ4"": 23394, ""CZ4"": 17734, ""TSZ1"": 65801}",2827,10.0,"[{""name"": ""BK Personal Training"", ""rating"": 5, ""reviews"": 32}, {""name"": ""VALENTIA AVENUE"", ""rating"": 5, ""reviews"": 12}, {""name"": ""Canberra Martial Arts & Fitness Centre"", ""rating"": 5, ""reviews"": 10}]"
actmapi_cz4_m35d24519_149d14470,Local Centre — Downer,-35.24518831782172,149.14469703962425,"Downer, ACT",actmapi_cz4,60,1367,5.29,4.71,3.33,3.59,4.15,3.02,1.509,0.731,"{""CF"": 9339, ""PRZ1"": 76526, ""TSZ1"": 51732, ""RZ1"": 334628, ""RZ2"": 93399, ""RZ3"": 7606, ""RZ5"": 32345, ""CZ4"": 8222, ""CZ6"": 26599}",1706,6.18,"[{""name"": ""JBR Pets Downer"", ""rating"": 5, ""reviews"": 14}, {""name"": ""Sam Mop"", ""rating"": 5, ""reviews"": 8}, {""name"": ""Jishukan Ryu (Japanese Jiu jitsu)"", ""rating"": 5, ""reviews"": 4}]"
actmapi_cz4_m35d29921_149d02335,Local Centre — Denman Prospect,-35.299211861320956,149.02334794858353,"Denman Prospect, ACT",actmapi_cz4,49,1367,5.89,5.18,10.0,3.84,6.78,4.43,2.214,0.558,"{""RZ5"": 91752, ""PRZ1"": 135395, ""CF"": 92719, ""CZ4"": 16564, ""TSZ1"": 38005, ""RZ4"": 22247, ""RZ1"": 243276}",991,3.57,"[{""name"": ""Evolving Smiles"", ""rating"": 5, ""reviews"": 54}, {""name"": ""Telcast"", ""rating"": 5, ""reviews"": 7}, {""name"": ""Sacred Chimez"", ""rating"": 5, ""reviews"": 5}]"
actmapi_cz4_m35d14788_149d10448,Local Centre — Taylor,-35.1478811502461,149.1044844372097,"Taylor, ACT",actmapi_cz4,25,443,6.9,4.14,0.0,9.35,4.42,3.39,1.695,0.6,"{""NUZ3"": 29021, ""RZ1"": 262470, ""RZ3"": 99728, ""PRZ1"": 132092, ""RZ4"": 22751, ""TSZ1"": 66670, ""CF"": 6851, ""CZ4"": 9631, ""CZ5"": 11880}",658,2.36,"[{""name"": ""ACT Driving Solutions"", ""rating"": 5, ""reviews"": 192}, {""name"": ""New Age Home Loans"", ""rating"": 5, ""reviews"": 63}, {""name"": ""Blue Painting & Decorating"", ""rating"": 5, ""reviews"": 11}]"
actmapi_cz4_m35d34219_149d22946,Local Centre — Oaks Estate,-35.342192865988075,149.22946420393018,"Oaks Estate, ACT",actmapi_cz4,25,256,4.94,2.91,2.5,6.64,4.02,1.96,1.0,0.393,"{""PRZ1"": 20616, ""NUZ4"": 51491, ""NUZ2"": 90325, ""RZ1"": 124885, ""TSZ1"": 9010, ""CZ4"": 20177, ""CF"": 1460}",266,0.94,"[{""name"": ""Playground at Gillipsie Park"", ""rating"": 5, ""reviews"": 3}, {""name"": ""Capital Stainless Steel"", ""rating"": 5, ""reviews"": 2}, {""name"": ""Mogo Mudbricks"", ""rating"": 5, ""reviews"": 1}]"
actmapi_cz4_m35d14680_149d12513,Local Centre — Jacka,-35.146801005712874,149.12512710810392,"Jacka, ACT",actmapi_cz4,6,74,7.07,3.31,0.0,10.0,4.43,3.29,1.647,0.704,"{""RZ1"": 331020, ""PRZ1"": 134881, ""NUZ3"": 21592, ""RZ3"": 68386, ""TSZ1"": 23997, ""RZ4"": 51620, ""CZ4"": 9529}",16,0.03,"[{""name"": ""Everist Hilltop Park"", ""rating"": 5, ""reviews"": 4}, {""name"": ""Taz Building Group- Custom Home Builder Canberra"", ""rating"": 4.8, ""reviews"": 70}]"
actmapi_cz4_m35d27983_149d03987,Local Centre — Whitlam,-35.2798260664329,149.03986750228796,"Whitlam, ACT",actmapi_cz4,8,10,7.41,0.0,0.0,10.0,3.85,3.16,1.582,0.72,"{""PRZ1"": 75232, ""RZ1"": 339773, ""RZ3"": 95811, ""RZ4"": 25535, ""NUZ4"": 22040, ""CF"": 56675, ""CZ4"": 4187, ""CZ5"": 20867}",1,0.0,"[{""name"": ""Reborn beauty Facial treatment"", ""rating"": 5, ""reviews"": 10}]"
ChIJj9TKneatF2sRSVMgHnyLH5s,Woolworths Kippax,-35.2228382,149.0202097,"Kippax Fair, Holt ACT 2615",google_places,60,5321,4.75,7.91,10.0,7.34,7.74,3.59,1.998,0.359,"{""TSZ1"": 60296, ""CF"": 88088, ""PRZ1"": 86825, ""PRZ2"": 29932, ""RZ2"": 229517, ""CZ2"": 43061, ""RZ1"": 417, ""CZ6"": 20324, ""CZ3"": 17417, ""CZ1"": 64587}",1063,3.84,"[{""name"": ""A Caring Touch Dog Grooming"", ""rating"": 5, ""reviews"": 38}, {""name"": ""Kippax Fair Newsagency"", ""rating"": 5, ""reviews"": 15}, {""name"": ""Ignis Strength & Fitness Gym"", ""rating"": 5, ""reviews"": 14}]"
ChIJ49Od_OtUFmsR5GCnHat8Kt0,Coles Amaroo,-35.16456,149.13207,"Hibberson St, Amaroo ACT",google_places,57,3664,4.25,7.15,10.0,7.58,7.51,3.45,1.725,0.596,"{""RZ1"": 272790, ""PRZ1"": 61095, ""RZ3"": 50610, ""TSZ1"": 94172, ""CF"": 66098, ""CZ3"": 2816, ""RZ4"": 58623, ""CZ1"": 22892, ""CZ2"": 11959}",2241,8.12,"[{""name"": ""On Crossman St"", ""rating"": 5, ""reviews"": 35}, {""name"": ""NB CURTAINS & DECOR"", ""rating"": 5, ""reviews"": 10}, {""name"": ""Rose cleaning services"", ""rating"": 5, ""reviews"": 9}]"
ChIJ6c3XBZxUFmsRUoRSAjP3be0,Coles Gungahlin,-35.18646,149.13588,Gungahlin Town Centre ACT,google_places,60,11006,3.55,9.65,10.0,6.48,7.61,0.28,3.0,0.019,"{""TSZ1"": 117333, ""PRZ1"": 38007, ""CF"": 68931, ""CZ5"": 86976, ""CZ1"": 202204, ""NUZ3"": 93246, ""CZ2"": 21952, ""RZ3"": 12147}",1322,4.78,"[{""name"": ""MiQ Private Wealth Canberra"", ""rating"": 5, ""reviews"": 19}, {""name"": ""IMB Bank - Gungahlin Branch"", ""rating"": 5, ""reviews"": 7}, {""name"": ""Dr. Shilpa Kalburgi"", ""rating"": 5, ""reviews"": 2}]"
